5.078179e+00,5.078802e+00
5.108911e+00,5.109534e+00
5.106420e+00,5.107042e+00
5.076414e+00,5.077036e+00
5.071326e+00,5.071949e+00
5.080359e+00,5.080982e+00
5.076621e+00,5.077244e+00
5.065512e+00,5.066135e+00
5.039451e+00,5.040074e+00
5.062501e+00,5.063124e+00
5.090845e+00,5.091468e+00
5.122824e+00,5.123447e+00
5.128742e+00,5.129365e+00
5.110053e+00,5.110676e+00
5.137775e+00,5.138398e+00
5.161136e+00,5.161759e+00
5.106835e+00,5.107458e+00
5.110988e+00,5.111611e+00
5.099878e+00,5.100501e+00
5.110261e+00,5.110884e+00
5.153142e+00,5.153765e+00
5.142447e+00,5.143070e+00
